obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"554.147"	""	"25"	""		""	""		""	"L3475"	
"555.135"	""	"85"	""		""	""		""	"L3475"	
"556.300"	""	"29"	""		""	""		""	"L3475"	
"557.144"	""	"17c"	""		""	""		""	"L3475"	
"557.616"	""	"35c"	""		""	""		""	"L3475"	
"557.829"	""	"35"	""		""	""		""	"L3475"	
"558.697"	""	"50"	""		""	""		""	"L3475"	
"559.095"	""	"17c"	""		""	""		""	"L3475"	
"559.489"	""	"13"	""		""	""		""	"L3475"	
"559.959"	""	"17c"	""		""	""		""	"L3475"	
"560.352"	""	"40"	""		""	""		""	"L3475"	
"560.393"	""	"13"	""		""	""		""	"L3475"	
"562.826"	""	"25"	""		""	""		""	"L3475"	
"562.917"	""	"65"	""		""	""		""	"L3475"	
"563.542"	""	"35c"	""		""	""		""	"L3475"	
"564.211"	""	"170"	""		""	""		""	"L3475"	
"564.530"	""	"35"	""		""	""		""	"L3475"	
"565.414"	""	"17"	""		""	""		""	"L3475"	
"566.471"	""	"130"	""		""	""		""	"L3475"	
"566.563"	""	"170"	""		""	""		""	"L3475"	
"566.686"	""	"17"	""		""	""		""	"L3475"	
"567.102"	""	"65c,w"	""		""	""		""	"L3475"	
"567.191"	""	"85"	""		""	""		""	"L3475"	
"567.747"	""	"25"	""		""	""		""	"L3475"	
"569.309"	""	"25"	""		""	""		""	"L3475"	
"569.790"	""	"35bl"	""		""	""		""	"L3475"	
"569.803"	""	""	""		""	""		""	"L3475"	
"570.616"	""	"40"	""		""	""		""	"L3475"	
"570.648"	""	"85"	""		""	""		""	"L3475"	
"570.933"	""	"29"	""		""	""		""	"L3475"	
"571.559"	""	"17"	""		""	""		""	"L3475"	
"571.635"	""	"65"	""		""	""		""	"L3475"	
"572.566"	""	"25"	""		""	""		""	"L3475"	
"572.919"	""	"130"	""		""	""		""	"L3475"	
"573.736"	""	"21"	""		""	""		""	"L3475"	
"573.820"	""	"13"	""		""	""		""	"L3475"	
"575.144"	""	"85"	""		""	""		""	"L3475"	
"576.034"	""	"110"	""		""	""		""	"L3475"	
"576.499"	""	"65"	""		""	""		""	"L3475"	
