obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"699.084"	""	"150"	""		""	""		""	"L3475"	
"699.432"	""	"80"	""		""	""		""	"L3475"	
"700.546"	""	"10"	""		""	""		""	"L3475"	
"702.740"	""	"100"	""		""	""		""	"L3475"	
"705.736"	""	"25"	""		""	""		""	"L3475"	
"705.796"	""	"14"	""		""	""		""	"L3475"	
"708.730"	""	"140"	""		""	""		""	"L3475"	
"708.943"	""	"25"	""		""	""		""	"L3475"	
"709.446"	""	"35"	""		""	""		""	"L3475"	
"709.559"	""	"50"	""		""	""		""	"L3475"	
"709.770"	""	"540"	""		""	""		""	"L3475"	
"710.291"	""	"280"	""		""	""		""	"L3475"	
"710.372"	""	"170"	""		""	""		""	"L3475"	
"711.168"	""	"140"	""		""	""		""	"L3475"	
"711.282"	""	"40"	""		""	""		""	"L3475"	
"711.352"	""	"18"	""		""	""		""	"L3475"	
"713.295"	""	"12"	""		""	""		""	"L3475"	
"714.074"	""	"16"	""		""	""		""	"L3475"	
"714.447"	""	"12"	""		""	""		""	"L3475"	
"716.909"	""	"590"	""		""	""		""	"L3475"	
"720.162"	""	"50"	""		""	""		""	"L3475"	
"725.817"	""	"12"	""		""	""		""	"L3475"	
"726.476"	""	"35"	""		""	""		""	"L3475"	
"730.621"	""	"20"	""		""	""		""	"L3475"	
"731.162"	""	"25"	""		""	""		""	"L3475"	
"731.372"	""	"35"	""		""	""		""	"L3475"	
"731.808"	""	"90"	""		""	""		""	"L3475"	
"732.782"	""	"10"	""		""	""		""	"L3475"	
"733.597"	""	"50"	""		""	""		""	"L3475"	
"734.396"	""	"50"	""		""	""		""	"L3475"	
"737.350"	""	"20"	""		""	""		""	"L3475"	
"738.363"	""	"25"	""		""	""		""	"L3475"	
"740.090"	""	"14"	""		""	""		""	"L3475"	
"741.139"	""	"10"	""		""	""		""	"L3475"	
"742.275"	""	"10"	""		""	""		""	"L3475"	
"743.310"	""	"10"	""		""	""		""	"L3475"	
"743.986"	""	"110"	""		""	""		""	"L3475"	
"746.757"	""	"18"	""		""	""		""	"L3475"	
"747.958"	""	"16"	""		""	""		""	"L3475"	
"751.570"	""	"14w"	""		""	""		""	"L3475"	
"751.795"	""	"12"	""		""	""		""	"L3475"	
"754.062"	""	"20w"	""		""	""		""	"L3475"	
"754.459"	""	"20"	""		""	""		""	"L3475"	
"755.146"	""	"29"	""		""	""		""	"L3475"	
"755.470"	""	"40"	""		""	""		""	"L3475"	
"755.845"	""	"25"	""		""	""		""	"L3475"	
"756.009"	""	"12"	""		""	""		""	"L3475"	
"756.212"	""	"12"	""		""	""		""	"L3475"	
"760.715"	""	"80"	""		""	""		""	"L3475"	
"761.208"	""	"14"	""		""	""		""	"L3475"	
"762.117"	""	"20"	""		""	""		""	"L3475"	
"765.860"	""	"29"	""		""	""		""	"L3475"	
"769.083"	""	"18"	""		""	""		""	"L3475"	
"770.427"	""	"14"	""		""	""		""	"L3475"	
"770.842"	""	"10"	""		""	""		""	"L3475"	
"776.655"	""	"10"	""		""	""		""	"L3475"	
